Title,Month,Day,Year,Category,Income/Expense,Amount
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 130101408181",10,24,2006,Health,Expense,1637.21
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128222143267",6,18,2010,Utilities,Expense,7822.77
"INSTACART HALIFAX MID-H, NS",4,13,2008,Personal,Income,163.23
"Point of Sale - INTERAC RETAIL PURCHASE 000001001326 COINAMATIC CANA",3,26,2005,Health,Expense,6838.03
"Internet Banking E-TRANSFER 103904096531 Nam Huy Bui",1,19,2016,Food,Income,9397.21
"Internet Banking INTERNET DOM TRANSFER 103807220198",4,13,2015,Personal,Expense,1327.31
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE SOUQ 033520005685 568.00 EGP @ 0.085616",8,4,2009,Accommodation,Income,4070.32
"Point of Sale - INTERAC RETAIL PURCHASE 000001130002 GREENWOODS DENT",6,12,2002,Health,Expense,1748.69
"Internet Banking INTERNET TRANSFER 000000236792",8,30,2017,Personal,Income,8284.33
"Internet Banking INTERNET TRANSFER 000000285225",5,4,2001,Accommodation,Expense,6804.75
"PAY PER USE OVERDRAFT FEE",8,2,2009,Accommodation,Income,1913.94
"Point of Sale - INTERAC RETAIL PURCHASE 000001001302 COINAMATIC CANA",8,25,2006,Accommodation,Expense,4065.24
"GREENCREST PHARMACY WINNIPEG MB",10,30,2005,Food,Expense,5347.28
"DOORDASH*HSIEH FAMILY DOWNTOWN TOROON",6,14,2020,Accommodation,Expense,7742.46
"Point of Sale - INTERAC RETAIL PURCHASE 815001001156 7 ELEVEN STORE",3,7,2019,Personal,Income,9706.12
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE CINEPLEX #8030 128507513608",5,5,2017,Accommodation,Income,1758.82
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *DBRAND 033520822515",5,15,2006,Accommodation,Expense,1322.60
"STARBUCKS COFFEE #48192 WINNIPEG, MB",7,27,2002,Utilities,Income,2664.78
"IKEA WINNIPEG #249 BURLINGTON ON",1,22,2004,Entertainment,Income,9489.63
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*MARBLE 119401668024",4,10,2020,Health,Income,1903.96
"Internet Banking INTERNET TRANSFER 000000226259",4,21,2002,Utilities,Expense,3672.30
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE SP * PALIROOTS 114620880842 37.00 USD @ 1.238378",5,20,2016,Health,Income,2985.59
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 120723688008",6,22,2003,Food,Expense,7437.98
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*MCDONA 119505373520",9,23,2002,Personal,Income,4149.68
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.252000",3,26,2004,Food,Expense,9628.69
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8982929769 120773525764",11,2,2019,Food,Income,9303.81
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE dbrand Order 033515540976",7,29,2020,Utilities,Income,5495.72
"Internet Banking INTERNET BILL PAY 000000257907 MASTERCARD, BMO",3,3,2019,Entertainment,Expense,3996.09
"Internet Banking INTERNET TRANSFER 000000275767",1,11,2000,Health,Income,5598.71
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOOGLE *Google 129262581781",11,28,2019,Health,Expense,6633.07
"SKIPTHEDISHES WINNIPEG MB",4,3,2020,Entertainment,Income,8145.62
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 114820687805",11,9,2020,Food,Income,3254.48
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 123709541432",7,5,2004,Entertainment,Income,7727.40
"OVERLIMIT FEE ON BAL $ 1437.17",7,21,2010,Entertainment,Income,3726.25
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8987807342 114434941244",2,16,2007,Health,Income,9182.67
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 115221381293",2,16,2002,Accommodation,Expense,4304.21
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE H&M ONLINE 123521470714",3,21,2002,Utilities,Expense,8083.40
"Point of Sale - INTERAC CORRECTION 000653170804 ST VITAL VISION",1,30,2011,Health,Income,2578.40
"Internet Banking INTERNET TRANSFER 000000237749",8,19,2000,Accommodation,Income,5241.07
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOOGLE *Google 129262581781",3,18,2017,Health,Income,6777.70
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130201721079",5,24,2018,Utilities,Expense,1910.19
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WINNIPEG TRANSI 121498930642",11,15,2017,Health,Income,9742.94
"AMZN Mktp CA*2L7JZ85B2 WWW.AMAZON.CA, ON",4,15,2011,Accommodation,Income,8567.06
"TIM HORTONS #8152 WINNIPEG, MB",6,8,2015,Entertainment,Income,4133.73
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*TIM HO 120220634105",5,11,2006,Food,Expense,755.37
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE CINEPLEX #8030 128507513608",9,5,2009,Accommodation,Expense,2622.22
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE dbrand Order 033515540976",4,12,2015,Accommodation,Income,6247.77
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 115806783478 12.41 CAD @ 1.000000",8,28,2007,Health,Income,7314.71
"Internet Banking INTERNET TRANSFER 000000246729",4,12,2010,Food,Income,7706.88
"Internet Banking E-TRANSFER 103932819240 Cs Tutoring",3,6,2018,Accommodation,Income,9042.79
"Internet Banking INTERNET TRANSFER 000000218634",10,6,2010,Health,Expense,4101.68
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AIR CAN* 112571064500",11,1,2008,Food,Expense,2458.14
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB T21187134271 12.89 CAD @ 1.000000",6,9,2016,Food,Expense,6331.67
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 114720281741 17.39 CAD @ 1.000000",11,1,2014,Personal,Expense,9973.42
"Branch Transaction OVERDRAFT INTEREST CHARGE",9,12,2011,Accommodation,Income,1561.59
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 115806783478 12.41 CAD @ 1.000000",4,5,2009,Entertainment,Income,1044.28
"AMZN Mktp CA*2L2SG1VY1 WWW.AMAZON.CA, ON",5,8,2010,Utilities,Income,3978.34
"Point of Sale - INTERAC RETAIL PURCHASE 000653170804 ST VITAL VISION",2,22,2013,Personal,Expense,9385.84
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL APPLE.COM/CA 215807003250",1,15,2016,Entertainment,Expense,3292.92
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL GOOGLE *Google 230807006268",9,27,2012,Entertainment,Income,830.97
"DOORDASH*RED LOBSTER DOWNTOWN TOROON",4,14,2012,Food,Income,694.15
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 122817474064 67.43 CAD @ 1.000000",1,11,2019,Personal,Expense,6608.49
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *EMPIREF 120700700976",10,7,2001,Food,Expense,2482.50
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 114720786149 19.39 CAD @ 1.000000",2,14,2000,Food,Expense,5616.61
"Internet Banking INTERNET TRANSFER 000000233939",10,21,2004,Accommodation,Income,4194.20
"Internet Banking E-TRANSFER 103931951354 Nam Huy Bui",10,25,2015,Utilities,Expense,3045.87
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *EMPIREF 120700700976",4,26,2015,Personal,Income,4254.29
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL PIZZA PIZZA LTD 125320842485 30.16 CAD @ 1.000000",6,13,2006,Food,Income,8473.84
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOGOINFLIGHT* 112534098337",4,17,2004,Accommodation,Expense,6155.20
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AIR CAN* 112571064500",10,2,2009,Health,Income,3152.40
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PIZZA PIZZA LTD 115222608388",11,14,2009,Health,Expense,852.36
"Point of Sale - INTERAC RETAIL PURCHASE 297001001049 7-ELEVEN 17060",5,19,2015,Entertainment,Income,7171.76
"PAYPAL *GHASSANALNA 4029357733, ON",8,7,2017,Food,Income,3875.08
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PIZZA PIZZA LTD 119505451956",6,12,2006,Entertainment,Income,5421.02
"PAYPAL *IGLOOB16 4029357733, ON",9,23,2018,Food,Income,1171.93
"Point of Sale - INTERAC RETAIL PURCHASE 000001001724 LONDON DRUGS 66",11,15,2014,Health,Expense,332.21
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE U OF M REGISTRA 123621211044",8,10,2013,Health,Expense,4140.00
"Internet Banking INTERNET TRANSFER 000000269148",2,14,2020,Food,Expense,480.99
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130319587460",3,4,2005,Entertainment,Income,7732.81
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 119701211405",10,17,2015,Personal,Expense,260.32
"Internet Banking INTERNET TRANSFER 000000214441",2,6,2015,Utilities,Expense,378.03
"AMZN Mktp CA*2L7ID8VF1 WWW.AMAZON.CA, ON",6,6,2002,Personal,Income,9909.82
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128320347743",10,27,2004,Accommodation,Income,9659.93
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 114720281741 17.39 CAD @ 1.000000",2,5,2014,Entertainment,Income,6777.60
"ST VITAL VISION CENTRE WINNIPEG MB",6,15,2001,Personal,Expense,8703.82
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE H&M ONLINE 123521470714",1,27,2010,Accommodation,Expense,5507.63
"PURCHASE INTEREST",8,27,2020,Utilities,Expense,5126.18
"TIM HORTONS #8152 WINNIPEG MB",6,3,2016,Entertainment,Expense,1506.61
"PAYPAL *RAGHDA 4029357733, ON",4,4,2010,Entertainment,Expense,9237.78
"PAYMENT RECEIVED - THANK YOU",7,1,2001,Entertainment,Expense,3619.34
"Internet Banking INTERNET TRANSFER 000000226377",6,23,2006,Accommodation,Expense,6431.64
"Internet Banking INTERNET TRANSFER 000000214441",9,19,2013,Utilities,Expense,3656.16
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBER *TRIP T21166833400 3.00 CAD @ 1.000000",11,17,2003,Food,Income,8623.65
"Internet Banking INTERNET BILL PAY 000000277385 UNIVERSITY OF MANITOBA",10,15,2005,Food,Expense,4501.54
"Internet Banking ",4,21,2004,Food,Expense,4692.24
"Internet Banking INTERNET TRANSFER 000000217320",1,14,2013,Personal,Income,9529.99
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115562225836",3,28,2015,Entertainment,Expense,968.71
"Point of Sale - INTERAC RETAIL PURCHASE 000001140007 UPS STORE #189",5,26,2017,Entertainment,Expense,57.86
"Point of Sale - INTERAC RETAIL PURCHASE 000001001391 DOLLARAMA #1286",9,16,2019,Utilities,Expense,2897.74
"Point of Sale - INTERAC RETAIL PURCHASE 000001140007 UPS STORE #189",5,14,2003,Personal,Income,2737.19
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 120843570813",4,10,2011,Food,Expense,1241.56
"Internet Banking E-TRANSFER RECLAIM010387129802",7,6,2005,Personal,Expense,3212.44
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Amazon Download 128543291383",5,12,2019,Personal,Expense,9890.13
"Internet Banking INTERNET TRANSFER 000000288020",9,16,2012,Health,Income,8457.99
"Internet Banking E-TRANSFER 103915794773 Nil",2,9,2012,Utilities,Income,726.72
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 114720786149 19.39 CAD @ 1.000000",1,22,2016,Accommodation,Expense,2811.95
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE NOON 033513110581 700.00 EGP @ 0.085600",11,2,2000,Food,Income,3553.58
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207718434 27.00 USD @ 1.273704",5,12,2015,Utilities,Income,4026.97
"DOORDASH*CIRCLE K DOWNTOWN TORO, ON",3,27,2006,Food,Income,5301.65
"Internet Banking E-TRANSFER 103291836407 Nil 2",6,3,2004,Entertainment,Expense,5385.78
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 114820687805",1,25,2000,Personal,Income,9940.92
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 114820687805",4,12,2017,Utilities,Income,3355.99
"Internet Banking E-TRANSFER 103904721909 Cs Tutoring",7,27,2012,Food,Expense,2849.37
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115244629060",7,1,2001,Health,Income,1632.95
"EDO JAPAN - FORT RICHM WINNIPEG MB",3,28,2013,Utilities,Expense,2748.18
"Internet Banking INTERNET TRANSFER 000000281600",3,2,2003,Health,Expense,9691.58
"Point of Sale - INTERAC RETAIL PURCHASE 000001001391 DOLLARAMA #1286",1,25,2007,Health,Income,7101.28
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ASEELSA 130519882534",8,22,2019,Personal,Income,7924.43
"Internet Banking INTERNET TRANSFER 000000218634",10,18,2002,Food,Income,1751.81
"Internet Banking INTERNET BILL PAY 000000248281 MASTERCARD, BMO",4,16,2017,Health,Income,9496.71
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *EMPIREF 120700700976",2,4,2014,Food,Income,9989.73
"SOBEYS #5037 WINNIPEG, MB",2,19,2009,Health,Expense,1832.83
"TIM HORTONS #8152 WINNIPEG, MB",9,20,2016,Food,Expense,4204.15
"Internet Banking INTERNET TRANSFER 000000219008",9,1,2020,Food,Income,8143.83
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 119401577236",6,5,2007,Utilities,Expense,3457.37
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOGOINFLIGHT* 112534098337",1,9,2006,Accommodation,Income,3331.38
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 130004874834",5,22,2016,Accommodation,Expense,1830.22
"Internet Banking E-TRANSFER 103775451035 Nil",5,23,2009,Entertainment,Income,6214.45
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 120220289489",4,17,2018,Entertainment,Expense,4667.43
"Point of Sale - INTERAC RETAIL PURCHASE 000001001303 UNICITY TAXI #",10,13,2020,Entertainment,Expense,2525.52
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115161790291",10,2,2002,Personal,Income,9597.79
"Internet Banking INTERNET TRANSFER 000000281600",5,27,2011,Entertainment,Income,5046.95
"AMZN Mktp CA*2L7583XQ0 WWW.AMAZON.CA, ON",9,8,2004,Utilities,Income,8256.69
"Internet Banking E-TRANSFER 103813947721 SAIFELESLAM KEWAISY",11,5,2014,Accommodation,Expense,1754.56
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 119300358087",10,1,2007,Health,Expense,3999.73
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/CA 114661843188",1,20,2019,Health,Income,6931.77
"DOORDASH*RED LOBSTER DOWNTOWN TOROON",9,17,2002,Food,Expense,819.41
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 112517341247",6,22,2019,Food,Expense,9745.27
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 129013886157 113.55 CAD @ 1.000000",10,24,2003,Entertainment,Expense,1922.12
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207667254 18.00 GBP @ 1.762222",1,18,2002,Accommodation,Income,1563.91
"Internet Banking INTERNET TRANSFER 000000226259",1,15,2010,Entertainment,Income,4326.94
"Ding 73179606 Dublin",7,1,2016,Food,Expense,6124.06
"Point of Sale - INTERAC RETAIL PURCHASE 000001001413 DOLLARAMA #1355",5,15,2018,Accommodation,Income,303.53
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 119618572370",7,29,2014,Personal,Expense,7928.51
"Internet Banking INTERNET TRANSFER 000000222121",10,15,2007,Food,Expense,8636.87
"CASH ADVANCE/AVANCE DE FO NDS",4,18,2017,Accommodation,Income,7832.93
"INSTACART SUBSCRIPTION HALIFAX MID-H, NS",2,26,2006,Personal,Income,9037.58
"Internet Banking INTERNET TRANSFER 000000233795",10,9,2011,Health,Expense,5625.12
"Internet Banking INTERNET TRANSFER 000000285648",2,14,2000,Entertainment,Expense,7167.10
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 109543153082",7,16,2014,Health,Income,5379.07
"Point of Sale - INTERAC RETAIL PURCHASE 000001215003 UPS STORE #189",6,10,2008,Accommodation,Expense,3476.94
"SKECHERS USA CANADA 833-846-5891, ON",2,18,2009,Personal,Income,9880.52
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 125122740760 49.63 CAD @ 1.000000",1,22,2017,Food,Expense,3108.93
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 114222113411",2,10,2012,Personal,Income,185.41
"Point of Sale - INTERAC RETAIL PURCHASE 000001372012 NATION WEST INS",11,29,2001,Utilities,Income,511.95
"EPC*EPIC GAMES STORE 919-854-0070 59.99 USD @ 1.344390",8,19,2019,Entertainment,Income,6183.76
"Point of Sale - INTERAC RETAIL PURCHASE 000001001173 DOLLARAMA #1286",2,12,2011,Entertainment,Expense,5786.23
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 114720281741 17.39 CAD @ 1.000000",3,5,2019,Entertainment,Expense,3303.21
"Internet Banking INTERNET TRANSFER 000000226377",6,1,2010,Health,Income,3.76
"Internet Banking E-TRANSFER 103931951354 Nam Huy Bui",7,16,2017,Food,Income,3176.03
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 109543153082",10,8,2002,Entertainment,Expense,1551.69
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOGOINFLIGHT* 112534098337",7,4,2019,Food,Expense,2679.36
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE UBER CANADA 128622894662",10,30,2016,Utilities,Expense,2036.79
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.263000",2,23,2018,Food,Expense,743.45
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 119320576697",2,22,2006,Utilities,Expense,8644.24
"PAYPAL *GHASSANALNA 4029357733, ON",3,27,2000,Entertainment,Income,2760.92
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE PIZZA PIZZA LTD T21257248801 30.07 CAD @ 1.000000",2,6,2002,Accommodation,Expense,6323.13
"Point of Sale - Visa Debit CORRECTION dbrand Order 033515380970",11,10,2017,Entertainment,Income,6847.08
"AWL*PEARSON EDUCATION PRSONCS.COM, NJ 94.99 USD @ 1.250131",6,4,2003,Utilities,Income,5532.86
"Point of Sale - INTERAC RETAIL PURCHASE 000001001413 DOLLARAMA #1355",5,7,2015,Accommodation,Expense,1323.19
"Internet Banking INTERNET TRANSFER 000000214062",5,13,2016,Food,Expense,5218.58
"DOORDASH*CIRCLE K DOWNTOWN TOROON",11,14,2018,Health,Income,7616.01
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 119701211405",3,29,2001,Personal,Income,4454.78
"AMZ*Amazon.ca WWW.AMAZON.CA, ON",7,24,2016,Food,Income,5853.63
"Internet Banking E-TRANSFER 103291835592 Nil 2",8,16,2016,Food,Income,6259.62
"REQUEST MONEY 010338709427 Floribert Kamabu",4,29,2004,Health,Expense,7884.16
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOGOINFLIGHT* 112534098337",9,12,2012,Health,Income,2457.19
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL GOOGLE *Google 230807006268",9,17,2016,Accommodation,Expense,6331.89
"Electronic Funds Transfer PREAUTHORIZED DEBIT CIBC-DISATF",8,25,2012,Utilities,Income,5636.14
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130615291106",11,12,2016,Health,Income,9300.51
"Branch Transaction SERVICE CHARGE DISCOUNT",10,2,2014,Utilities,Expense,7037.46
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207667254 18.00 GBP @ 1.762222",3,25,2003,Personal,Income,202.08
"Internet Banking INTERNET TRANSFER 000000263993",4,8,2015,Accommodation,Income,3552.29
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115135455508",10,1,2009,Food,Expense,6905.04
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115135455508",5,6,2002,Entertainment,Income,9793.63
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE BDS-INFO.CH 120906772646 20.00 USD @ 1.292000",10,30,2016,Personal,Income,7337.86
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 114720786149 19.39 CAD @ 1.000000",6,23,2008,Utilities,Income,2442.12
"DOORDASH*CIRCLE K DOWNTOWN TORO, ON",10,25,2002,Entertainment,Expense,5654.87
"UBER* PENDING TORONTO ON",10,7,2015,Entertainment,Expense,3409.35
"Point of Sale - INTERAC RETAIL PURCHASE 000001372012 NATION WEST INS",5,25,2019,Food,Income,2642.62
"PAYPAL *IGLOOB16 4029357733, ON",5,22,2002,Entertainment,Expense,8556.63
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE ROGERS *** 115231539541",11,16,2014,Health,Expense,2165.06
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.251000",5,22,2012,Entertainment,Income,9106.34
"DOORDASH*TIM HORTONS DOWNTOWN TOROON",5,13,2018,Accommodation,Expense,5784.64
"Point of Sale - INTERAC RETAIL PURCHASE 000001001724 LONDON DRUGS 66",8,3,2011,Accommodation,Expense,7185.67
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WINNIPEG TRANSI 121498930642",9,21,2009,Utilities,Income,1556.46
"Electronic Funds Transfer CREDIT MEMO CIBC-DISATF",3,7,2008,Personal,Expense,9106.92
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 112601145020",11,26,2006,Food,Income,620.29
"AMZ*Amazon.ca WWW.AMAZON.CA, ON",1,4,2007,Utilities,Income,3526.47
"Internet Banking INTERNET DOM TRANSFER 103771414990",2,9,2007,Health,Income,9766.34
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 122817474064 67.43 CAD @ 1.000000",3,22,2009,Entertainment,Income,7461.64
"Point of Sale - INTERAC RETAIL PURCHASE 852001001138 7 ELEVEN STORE",2,3,2006,Accommodation,Income,2948.95
"Internet Banking INTERNET BILL PAY 000000248281 MASTERCARD, BMO",10,1,2002,Food,Income,3614.85
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *DBRAND 033516821111",1,1,2002,Entertainment,Expense,9069.96
"Point of Sale - INTERAC RETAIL PURCHASE 000001001824 GREENWOODS DENT",9,19,2019,Utilities,Income,1078.13
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 115806783478 15.41 CAD @ 1.000000",8,1,2012,Food,Income,6341.41
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 116241781183",7,12,2011,Accommodation,Expense,8635.92
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115161790291",6,5,2006,Personal,Expense,4624.50
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207667254 18.00 GBP @ 1.762222",4,14,2017,Health,Expense,3581.59
"Internet Banking INTERNET TRANSFER 000000269148",6,20,2002,Food,Expense,8885.66
"Point of Sale - INTERAC RETAIL PURCHASE 000001001724 LONDON DRUGS 66",7,14,2005,Health,Income,729.17
"Internet Banking INTERNET TRANSFER 000000280173",10,16,2000,Food,Expense,1072.76
"PIZZA PIZZA LTD TORONTO ON",10,17,2006,Entertainment,Expense,1923.83
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.263000",5,29,2003,Entertainment,Expense,3444.28
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE H&M ONLINE 123521470714",5,19,2019,Accommodation,Income,4253.98
"DOORDASH*OH DOUGHNUTS DOWNTOWN TORO, ON",2,27,2013,Personal,Expense,2798.42
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*TIM HO 120220634105",2,8,2003,Entertainment,Income,3054.61
"Point of Sale - INTERAC RETAIL PURCHASE 000001001184 UNICITY TAXI #",11,2,2003,Health,Expense,1925.89
"LONDON DRUGS 66 WINNIPEG, MB",10,27,2014,Health,Income,4907.64
"Point of Sale - INTERAC RETAIL PURCHASE 730001001074 7 ELEVEN STORE",1,1,2014,Accommodation,Expense,83.62
"Internet Banking INTERNET BILL PAY 000000277385 UNIVERSITY OF MANITOBA",11,24,2018,Entertainment,Expense,1110.64
"SKIPTHEDISHES WINNIPEG, MB",2,17,2008,Utilities,Expense,4737.01
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PP*6750CODE 112910330964",5,17,2010,Health,Income,657.32
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 120723688008",3,7,2012,Accommodation,Expense,4778.48
"Internet Banking E-TRANSFER 103904094175 divagar",3,28,2011,Food,Expense,7849.77
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 114720281741 20.39 CAD @ 1.000000",10,19,2007,Personal,Expense,9569.51
"AMZ*Amazon.ca WWW.AMAZON.CA, ON",6,17,2004,Entertainment,Expense,8117.14
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 119320576697",5,8,2008,Entertainment,Expense,4279.94
"Point of Sale - INTERAC RETAIL PURCHASE 000001001303 UNICITY TAXI #",11,20,2012,Entertainment,Expense,1866.68
"Point of Sale - INTERAC RETAIL PURCHASE 000001001326 COINAMATIC CANA",2,8,2009,Utilities,Expense,2929.93
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130319154781",5,18,2003,Entertainment,Income,5857.14
"Internet Banking E-TRANSFER 103291836407 Nil 2",5,7,2004,Utilities,Expense,6509.22
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8986489928 128931619986",9,15,2009,Health,Expense,1383.84
