Title,Date,Category,Income/Expense,Amount
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 129222472965",11/15/2019,Health,Expense,4656.03
"Point of Sale - INTERAC RETAIL PURCHASE 000001140007 UPS STORE #189",02/24/2020,Health,Expense,261.05
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL APPLE.COM/BILL T21007062033 39.18 CAD @ 1.000000",10/08/2009,Accommodation,Expense,9028.30
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130615818470",06/01/2015,Food,Income,1148.97
"Internet Banking INTERNET TRANSFER 000000217320",03/24/2016,Personal,Expense,8128.79
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 119523616250",06/17/2016,Utilities,Expense,92.26
"7-ELEVEN 17060 D2811 WINNIPEG, MB",03/20/2018,Personal,Income,8594.04
"Internet Banking INTERNET TRANSFER 000000226259",08/18/2013,Utilities,Expense,5345.41
"UPS STORE #189 WINNIPEG, MB",08/07/2000,Food,Income,241.02
"Internet Banking INTERNET TRANSFER 000000229840",03/22/2003,Accommodation,Income,2551.97
"Internet Banking E-TRANSFER 103291836407 Nil 2",04/02/2003,Accommodation,Expense,7442.17
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE NOON 033513110581 700.00 EGP @ 0.085600",11/15/2017,Personal,Income,5753.52
"Internet Banking INTERNET BILL PAY 000000211857 MASTERCARD, BMO",06/04/2010,Health,Income,5059.28
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.287000",03/26/2001,Accommodation,Income,526.07
"ESHOPWORLD 35318809114",09/12/2019,Food,Income,4370.68
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 119820331428",03/05/2010,Entertainment,Income,2606.88
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOOGLE *Google 129862345774",11/21/2014,Utilities,Income,3438.23
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 129222472965 28.03 CAD @ 1.000000",01/17/2017,Food,Income,613.82
"UBER *TRIP AMSTERDAM, ON",08/01/2001,Food,Income,5725.35
"Point of Sale - INTERAC RETAIL PURCHASE 860001001001 7 ELEVEN STORE",04/17/2016,Personal,Income,1152.01
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PIZZA PIZZA LTD 115222608388",10/10/2006,Entertainment,Expense,9344.61
"PIZZA PIZZA LTD TORONTO ON",04/18/2005,Food,Income,891.04
"Internet Banking E-TRANSFER 103935295283 Nil",09/05/2007,Accommodation,Income,1203.74
"Point of Sale - INTERAC RETAIL PURCHASE 000001001326 COINAMATIC CANA",07/09/2010,Utilities,Expense,7681.82
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 036362050688",11/11/2015,Accommodation,Expense,3868.60
"Point of Sale - Visa Debit CORRECTION dbrand Order 033515540976",01/17/2004,Utilities,Income,3214.41
"Point of Sale - INTERAC RETAIL PURCHASE 000001134001 GREENWOODS DENT",01/13/2012,Food,Expense,962.38
"AMZN Mktp CA*SR64P9QY3 WWW.AMAZON.CA, ON",02/01/2010,Personal,Expense,8349.77
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 119618572370",01/26/2017,Health,Income,2399.23
"Point of Sale - INTERAC RETAIL PURCHASE 000653170804 ST VITAL VISION",08/29/2009,Entertainment,Expense,6784.39
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 129013886157 120.00 CAD @ 1.000000",07/13/2008,Food,Income,8184.58
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ASEELSA 123721541177",08/23/2007,Health,Income,5537.75
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 112517341247",06/24/2008,Entertainment,Expense,3030.51
"SQ *OH DOUGHNUTS gosq.com MB",09/16/2012,Personal,Income,8795.98
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 120723688008",05/30/2020,Accommodation,Income,6477.05
"UBER *TRIP AMSTERDAM, ON",09/28/2005,Health,Income,4623.08
"Point of Sale - INTERAC RETAIL PURCHASE 860001001001 7 ELEVEN STORE",01/01/2009,Personal,Expense,5923.61
"Internet Banking INTERNET TRANSFER 000000222121",03/14/2020,Health,Expense,6250.00
"Point of Sale - INTERAC RETAIL PURCHASE 000001001029 DOLLARAMA # 503",05/04/2011,Entertainment,Income,6329.86
"OVER LIMIT FEE",03/21/2007,Health,Income,3713.56
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 114234127034",01/13/2000,Health,Income,1588.56
"Internet Banking INTERNET TRANSFER 000000289816",10/20/2008,Accommodation,Expense,2159.77
"Automated Banking Machine ATM DEPOSIT FORT RICHMOND SQ 2A12",10/14/2011,Entertainment,Expense,7022.82
"Internet Banking INTERNET TRANSFER 000000239148",03/12/2002,Food,Income,4020.19
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 114722191577",07/21/2008,Utilities,Income,9305.39
"Point of Sale - INTERAC RETAIL PURCHASE 000036006148 PEARLE VISION 5",09/24/2011,Personal,Expense,3812.35
"Electronic Funds Transfer PREAUTHORIZED DEBIT CIBC-DISATF",03/10/2010,Health,Income,5397.89
"Internet Banking INTERNET BILL PAY 000000211857 MASTERCARD, BMO",03/05/2015,Health,Expense,5927.80
"Internet Banking INTERNET BILL PAY 000000275373 MASTERCARD, BMO",01/29/2001,Personal,Income,6179.52
"Internet Banking INTERNET TRANSFER 000000233596",05/05/2013,Utilities,Expense,390.93
"SKIPTHEDISHES WINNIPEG MB",08/05/2012,Health,Expense,3566.62
"ESHOPWORLD 35318809114",01/05/2008,Health,Income,6738.15
"Internet Banking E-TRANSFER 103782929527 Nil",03/02/2013,Food,Income,7443.88
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 120843570813",06/16/2014,Utilities,Income,8235.15
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128320503371",04/24/2006,Health,Expense,6268.14
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115135455508",07/28/2012,Food,Income,9101.55
"Internet Banking INTERNET TRANSFER 000000210291",09/01/2005,Accommodation,Expense,9756.60
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ASEELSA 130519882534",04/03/2012,Accommodation,Income,9866.80
"Internet Banking INTERNET TRANSFER 000000274521",04/23/2013,Food,Expense,3373.13
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 128319713380",07/15/2010,Food,Expense,8288.85
"Point of Sale - INTERAC RETAIL PURCHASE 000001001391 DOLLARAMA #1286",06/04/2006,Utilities,Expense,5619.29
"Internet Banking INTERNET TRANSFER 000000214062",04/29/2004,Health,Income,4619.49
"Internet Banking INTERNET TRANSFER 000000222121",08/18/2014,Health,Expense,1236.91
"Point of Sale - INTERAC RETAIL PURCHASE 124516329556 TIM HORTONS #81",10/05/2009,Utilities,Expense,6282.02
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 120723688008",09/28/2007,Entertainment,Expense,6443.52
"DOORDASH*CIRCLE K DOWNTOWN TOROON",06/24/2013,Personal,Income,8334.17
"DOORDASH*OH DOUGHNUTS DOWNTOWN TORO, ON",11/08/2012,Utilities,Income,6476.70
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8987807342 114434941244",02/14/2001,Food,Expense,1431.74
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 124323231129 140.00 CAD @ 1.000000",05/28/2002,Accommodation,Income,4806.48
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE H&R BLOCK 122420136933",05/11/2003,Utilities,Expense,2841.71
"Internet Banking INTERNET TRANSFER 000000268805",06/23/2018,Accommodation,Income,5555.41
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 119701211405",04/04/2019,Food,Expense,5822.07
"UBER *TRIP HELP.UBER.COMNLD",07/11/2011,Health,Expense,2988.26
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 128319713380 75.00 CAD @ 1.000000",01/24/2012,Personal,Expense,2195.83
"7 ELEVEN STORE #32317 WINNIPEG, MB",01/14/2008,Health,Expense,7003.18
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PP*6750CODE 112910330964",05/04/2017,Accommodation,Expense,7458.24
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL APPLE.COM/BILL T21007062033 39.18 CAD @ 1.000000",08/25/2010,Health,Expense,584.30
"Internet Banking INTERNET TRANSFER 000000239616",10/29/2007,Food,Expense,407.47
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PIZZA PIZZA LTD 119505451956",09/10/2017,Entertainment,Income,8381.38
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 115416041043",01/14/2008,Health,Income,7974.05
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *OZLEY L 120700380712",01/17/2003,Personal,Expense,8497.15
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129817307906",05/07/2004,Accommodation,Income,7002.14
"Internet Banking E-TRANSFER 103811946493 Nil",07/15/2010,Health,Income,7824.51
"Internet Banking E-TRANSFER 103893663933 CARLI ALECIA-MARIE MCNABB",08/14/2019,Utilities,Expense,5723.27
"Internet Banking INTERNET TRANSFER 000000256035",08/14/2009,Personal,Income,3581.94
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBER *TRIP T21166833400 3.00 CAD @ 1.000000",06/01/2012,Entertainment,Income,5858.73
"Automated Banking Machine ATM DEPOSIT FORT RICHMOND SQ 2A12",08/25/2006,Health,Expense,6107.45
"Branch Transaction WITHDRAWAL IBB FORT RICHMOND SQ BANKING CENTR",07/27/2009,Health,Expense,8928.57
"Internet Banking INTERNET TRANSFER 000000233596",11/20/2011,Entertainment,Expense,4683.22
"Internet Banking INTERNET BILL PAY 000000238398 UNIVERSITY OF MANITOBA",06/28/2005,Entertainment,Income,5290.77
"Internet Banking INTERNET TRANSFER 000000260690",06/07/2015,Food,Income,1233.14
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 115806783478 12.41 CAD @ 1.000000",11/28/2005,Food,Income,6629.16
"DOLLARAMA #1286 WINNIPEG, MB",04/17/2000,Entertainment,Income,1004.22
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WWW.IKEA.CA 128415214343",04/27/2013,Food,Expense,3505.29
"OVERLIMIT FEE ON BAL $ 1437.17",08/17/2017,Personal,Expense,7120.12
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 115221381293",11/01/2005,Health,Expense,1100.24
"DOLLARAMA #1286 WINNIPEG MB",05/23/2003,Health,Income,7084.75
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 124323231129 129.00 CAD @ 1.000000",01/08/2008,Utilities,Expense,2729.14
"AMZ*Duolihui US WWW.AMAZON.CA, ON",10/12/2009,Food,Income,3681.04
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 112517341247",06/24/2011,Personal,Expense,7839.91
"UBER *TRIP HELP.UBER.COMNLD",04/23/2017,Personal,Income,1803.64
"IKEA WINNIPEG #249 BURLINGTON, ON",09/24/2001,Personal,Income,8145.36
"Internet Banking INTERNET TRANSFER 000000248000",11/02/2003,Utilities,Income,4147.81
"Internet Banking INTERNET TRANSFER 000000260690",04/25/2011,Food,Income,116.10
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115244629060",01/06/2004,Health,Expense,3777.64
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129904421813",02/23/2001,Personal,Expense,9126.73
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129521971315",02/03/2020,Utilities,Expense,2830.39
"Point of Sale - INTERAC RETAIL PURCHASE 000001001182 UNICITY TAXI #",04/09/2006,Entertainment,Expense,1442.31
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128704270353",02/26/2020,Entertainment,Expense,924.10
"Internet Banking INTERNET TRANSFER 000000242642",08/03/2019,Utilities,Expense,7467.88
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 114720281741 20.39 CAD @ 1.000000",01/17/2014,Utilities,Expense,4736.35
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8989078410 100175533173",07/24/2012,Accommodation,Income,6097.00
"DOORDASH*OH DOUGHNUTS DOWNTOWN TORO, ON",03/11/2001,Food,Expense,1949.14
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.263000",01/30/2006,Health,Income,388.97
"EPC*EPIC GAMES STORE 919-854-0070 59.99 USD @ 1.344390",03/21/2003,Utilities,Income,3980.80
"DOORDASH*WAKO SUSHI CA DOWNTOWN TORO, ON",10/26/2016,Utilities,Expense,5867.55
"Point of Sale - INTERAC RETAIL PURCHASE 000001449010 NATION WEST INS",09/21/2003,Utilities,Expense,8090.93
"Internet Banking E-TRANSFER 103904094175 divagar",11/01/2015,Personal,Expense,3557.23
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128704270353",08/04/2013,Health,Expense,7063.90
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 122817474064",05/24/2009,Accommodation,Expense,8741.61
"Point of Sale - INTERAC RETAIL PURCHASE 000001001183 UNICITY TAXI #",07/24/2004,Entertainment,Expense,9698.83
"Point of Sale - INTERAC RETAIL PURCHASE 000001001029 DOLLARAMA # 503",07/15/2004,Accommodation,Income,5745.82
"SERVICE CHARGE",10/17/2016,Entertainment,Income,5215.46
"UBER *TRIP AMSTERDAM, ON",03/28/2010,Entertainment,Expense,2612.50
"OVERLIMIT FEE",07/05/2000,Entertainment,Income,3341.03
"Internet Banking INTERNET TRANSFER 000000230250",04/13/2008,Personal,Income,1515.99
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE U OF M REGISTRA 123621211044",09/12/2006,Health,Income,508.52
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129221927298",02/11/2007,Accommodation,Expense,3783.01
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL PIZZA PIZZA LTD 125320842485 30.16 CAD @ 1.000000",02/21/2008,Accommodation,Expense,7564.37
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 128120074581",02/20/2020,Personal,Expense,9190.01
"MARY BROWNS #8002 WINNIPEG MB",10/03/2006,Health,Expense,8777.08
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 129931113626",06/22/2008,Food,Income,766.38
"Cashback/Remises CR",08/05/2000,Utilities,Income,4465.51
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE H&M ONLINE 121007465422",11/24/2002,Health,Expense,88.81
"MARY BROWNS #8002 WINNIPEG MB",06/07/2008,Utilities,Expense,995.12
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL PIZZA PIZZA LTD 125320842485 30.16 CAD @ 1.000000",06/16/2006,Entertainment,Income,5069.37
"TIM HORTONS #8152 WINNIPEG MB",10/28/2000,Accommodation,Income,1512.69
"Internet Banking INTERNET TRANSFER 000000235999",01/25/2000,Personal,Income,1672.50
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 129341124937",02/08/2005,Personal,Income,2115.52
"AMZN Mktp CA*SR64P9QY3 WWW.AMAZON.CA, ON",03/20/2007,Entertainment,Expense,2723.75
"Branch Transaction OVERDRAFT INTEREST CHARGE",02/18/2007,Accommodation,Income,1019.99
"7 ELEVEN STORE #32317 WINNIPEG, MB",02/22/2006,Food,Income,6434.68
"SERVICE CHARGE",02/11/2010,Food,Expense,3836.75
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 119320576697",09/29/2016,Health,Expense,1395.02
"Internet Banking E-TRANSFER 103851939670 Divagar",03/29/2001,Utilities,Income,8404.30
"AMZN Mktp CA*2L7ID8VF1 WWW.AMAZON.CA, ON",03/30/2013,Health,Income,7597.77
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PIZZA PIZZA LTD 115222608388",02/14/2007,Utilities,Expense,4929.61
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ASEELSA 123721541177",09/01/2007,Accommodation,Income,5432.47
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WINNIPEG TRANSI 129710298809",09/29/2017,Food,Expense,5149.06
"Point of Sale - INTERAC RETAIL PURCHASE 000001001391 DOLLARAMA #1286",03/01/2008,Entertainment,Expense,3397.42
"Internet Banking INTERNET TRANSFER 000000274521",07/17/2013,Accommodation,Expense,7390.66
"Internet Banking INTERNET TRANSFER 000000248361",06/26/2006,Health,Income,4154.05
"Electronic Funds Transfer CREDIT MEMO CIBC-DISATF",06/05/2014,Utilities,Expense,2894.42
"Internet Banking INTERNET TRANSFER 000000217320",03/14/2007,Personal,Expense,5328.61
"Point of Sale - INTERAC RETAIL PURCHASE 000001541047 SOBEYS #5037",07/30/2019,Utilities,Expense,2613.52
"7-ELEVEN 17060 D2811 WINNIPEG MB",07/06/2002,Utilities,Expense,9420.52
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 120723688008",11/07/2002,Personal,Expense,6678.18
"Internet Banking INTERNET TRANSFER 000000260690",03/21/2007,Accommodation,Expense,2984.50
"Point of Sale - INTERAC RETAIL PURCHASE 000001001173 DOLLARAMA #1286",06/01/2002,Entertainment,Income,1730.04
"PAYMENT THANK YOU/PAIEMEN T MERCI",05/27/2017,Health,Expense,8242.12
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 119320576697",08/01/2006,Health,Expense,1668.07
"ROGERS ******* 888-764-3771 ON",11/08/2003,Utilities,Expense,1480.58
"ESHOPWORLD 35318809114",01/24/2011,Food,Expense,5528.88
"Internet Banking INTERNET TRANSFER 000000217381",10/21/2006,Health,Expense,634.84
"Internet Banking INTERNET TRANSFER 000000274346",10/28/2013,Food,Income,1886.35
"UBER* TRIP TORONTO ON",07/09/2011,Health,Income,4623.73
"Internet Banking INTERNET TRANSFER 000000210291",04/16/2008,Entertainment,Income,5982.60
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 119320576697",09/14/2004,Entertainment,Expense,1773.54
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207667254 18.00 GBP @ 1.762222",01/23/2000,Food,Income,3706.00
"AMZN Mktp CA*2G8R57Z62 WWW.AMAZON.CA, ON",07/06/2008,Utilities,Income,9009.76
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE UBER CANADA 128622894662",11/06/2009,Food,Income,6588.33
"UOFMANITOBA-BOOKSTORE WINNIPEG, MB",10/01/2003,Utilities,Expense,5598.51
"Internet Banking INTERNET TRANSFER 000000277819",07/21/2008,Food,Expense,9917.02
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 119701211405",09/09/2014,Entertainment,Income,3061.14
"7 ELEVEN STORE #32317 WINNIPEG, MB",06/16/2000,Utilities,Expense,1925.17
"Internet Banking INTERNET TRANSFER 000000230250",07/20/2009,Food,Expense,7904.23
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 122817474064",11/22/2015,Food,Expense,7659.24
"Internet Banking INTERNET TRANSFER 000000214062",08/25/2007,Personal,Income,1170.78
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129817307906",06/02/2017,Accommodation,Income,5339.27
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE SOUQ 033520005685 568.00 EGP @ 0.085616",06/18/2000,Utilities,Income,8214.28
"Automated Banking Machine ATM WITHDRAWAL FORT RICHMOND SQ 2A12",08/07/2001,Accommodation,Income,7136.73
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*CINNAH 119300812554",11/06/2015,Entertainment,Income,5491.85
"Internet Banking INTERNET BILL PAY 000000277385 UNIVERSITY OF MANITOBA",06/27/2001,Accommodation,Income,2697.50
"Point of Sale - INTERAC RETAIL PURCHASE 000001215012 UPS STORE #189",01/09/2020,Entertainment,Income,1150.50
"Internet Banking E-TRANSFER 103811946493 Nil",02/26/2011,Food,Income,8336.47
"Internet Banking E-TRANSFER 103931951354 Nam Huy Bui",10/08/2007,Food,Expense,7538.15
"Internet Banking INTERNET DOM TRANSFER 103807220198",06/02/2005,Entertainment,Expense,2040.84
"Internet Banking INTERNET TRANSFER 000000252936",07/16/2005,Food,Expense,3569.86
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 128120074581",03/06/2015,Health,Income,3007.65
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115562225836",01/16/2007,Utilities,Expense,8180.00
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL PIZZA PIZZA LTD 125320842485 30.16 CAD @ 1.000000",03/13/2011,Health,Income,9965.14
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE SOUQ 033520005685 568.00 EGP @ 0.085616",04/02/2008,Food,Expense,1866.28
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE SP * PALIROOTS 114620880842 37.00 USD @ 1.238378",06/22/2012,Personal,Expense,1652.45
"Internet Banking INTERNET TRANSFER 000000219008",09/20/2003,Accommodation,Income,495.84
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PIZZA PIZZA LTD 125320842485",11/27/2019,Entertainment,Expense,8512.18
"Internet Banking INTERNET TRANSFER 000000220619",08/12/2010,Utilities,Income,9160.99
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE H&R BLOCK 122420136933",05/09/2005,Personal,Income,604.11
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130615818470",05/29/2000,Accommodation,Income,8646.68
"Internet Banking INTERNET TRANSFER 000000217320",10/08/2001,Personal,Income,2239.56
"Internet Banking INTERNET TRANSFER 000000263993",10/07/2000,Food,Expense,6250.46
"Internet Banking INTERNET TRANSFER 000000248000",06/22/2000,Personal,Expense,7796.62
"Internet Banking E-TRANSFER 103904094175 divagar",02/11/2002,Accommodation,Expense,4921.58
"AMZN Mktp CA*2C9PP0MR2 WWW.AMAZON.CAON",03/17/2014,Personal,Expense,9029.30
"Internet Banking E-TRANSFER 103931951354 Nam Huy Bui",08/04/2004,Entertainment,Income,432.44
"PONY CORRAL RESTAURANT WINNIPEG MB",09/11/2000,Utilities,Expense,5136.07
"Internet Banking INTERNET TRANSFER 000000233795",07/29/2017,Food,Income,3708.85
"MARY BROWNS #8002 WINNIPEG MB",09/29/2000,Accommodation,Income,1193.86
"Point of Sale - INTERAC RETAIL PURCHASE 000001280019 ULTRACUTS STORE",07/15/2005,Entertainment,Expense,5631.57
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WWW.IKEA.CA 128415214343",10/08/2005,Food,Expense,5009.14
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115161790291",11/23/2004,Accommodation,Expense,2002.51
"Point of Sale - Visa Debit CORRECTION dbrand Order 033515380970",06/26/2015,Entertainment,Income,5115.70
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ABBYMAR 114420760500",03/30/2012,Entertainment,Income,404.65
"Internet Banking E-TRANSFER 103291835592 Nil 2",11/14/2006,Personal,Income,7233.18
"Internet Banking INTERNET TRANSFER 000000229840",07/16/2014,Personal,Expense,3093.48
"PAYPAL *IGLOOB16 4029357733, ON",07/22/2020,Personal,Income,1233.71
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *DBRAND 033516821111",01/17/2020,Health,Income,3510.24
"Internet Banking INTERNET TRANSFER 000000225749",01/29/2012,Utilities,Expense,6970.28
"UBR* PENDING.UBER.COM AMSTERDAM, ON",06/17/2019,Food,Expense,1050.27
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129721552614",09/09/2007,Health,Income,7039.76
"AMZN Mktp CA*2C4GU87A1 WWW.AMAZON.CAON",09/28/2005,Utilities,Income,3037.33
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128704270353",06/19/2005,Food,Income,1704.43
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 120723688008",02/07/2004,Entertainment,Income,7206.89
"Internet Banking INTERNET TRANSFER 000000260690",07/18/2017,Utilities,Expense,4225.18
"Internet Banking INTERNET BILL PAY 000000211857 MASTERCARD, BMO",04/21/2014,Personal,Expense,8403.48
"Internet Banking INTERNET TRANSFER 000000218634",08/03/2003,Food,Expense,861.79
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 112601145020",01/26/2000,Utilities,Expense,5475.13
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 036362050688",10/29/2011,Entertainment,Income,3116.34
"Internet Banking INTERNET TRANSFER 000000239616",09/28/2001,Entertainment,Expense,4558.99
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 119401577236",06/01/2002,Health,Expense,1153.68
"Internet Banking INTERNET TRANSFER 000000274346",08/23/2007,Health,Expense,1567.90
"Internet Banking INTERNET TRANSFER 000000242922",10/09/2018,Health,Expense,8533.90
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115244629060",07/09/2006,Entertainment,Expense,7067.21
"PIZZA PIZZA LTD TORONTO, ON",02/14/2013,Entertainment,Expense,8754.62
"PAYPAL *OZLEY LLC 4029357733, ON",05/24/2014,Health,Expense,3877.12
"ROGERS ******* 888-764-3771 ON",01/09/2020,Entertainment,Expense,7347.03
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WWW.IKEA.CA 128415214343",05/23/2009,Entertainment,Income,6817.41
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ASEELSA 130519882534",07/23/2020,Utilities,Income,8240.79
"Branch Transaction WITHDRAWAL IBB FORT RICHMOND SQ BANKING CENTR",05/05/2014,Food,Income,8028.43
"Internet Banking INTERNET TRANSFER 000000248361",07/27/2006,Personal,Income,3988.40
"Internet Banking E-TRANSFER 103890816362 Nil",07/01/2002,Utilities,Expense,4538.24
"SQ *SHANG HAI 360 Winnipeg, MB",10/23/2007,Entertainment,Expense,4538.50
"Internet Banking INTERNET TRANSFER 000000229840",07/06/2002,Utilities,Expense,616.95
"Internet Banking INTERNET TRANSFER 000000242922",11/12/2010,Utilities,Income,4427.25
"Internet Banking INTERNET TRANSFER 000000280436",10/10/2009,Accommodation,Income,466.04
"Point of Sale - INTERAC RETAIL PURCHASE 000001001456 LONDON DRUGS 66",03/16/2011,Utilities,Income,7755.96
"Internet Banking INTERNET BILL PAY 000000242901 MASTERCARD, BMO",06/23/2001,Utilities,Income,6197.42
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8980740778 125372611826",02/12/2012,Accommodation,Income,5540.64
